target,n,n_ligands,coverage,n_actives,method,p_at_10,p_at_20,mean_active_rank,auroc
B4RNM9,200,200,1.000,58,retrieval,1.000,1.000,29.81,0.9978
B4RNM9,200,200,1.000,58,smina_rerank,0.400,0.250,99.45,0.5083
B4RNM9,200,200,1.000,58,rank_fusion,1.000,0.750,48.17,0.8686
I6WXK4,200,200,1.000,23,retrieval,0.500,0.550,27.83,0.9107
I6WXK4,200,200,1.000,23,smina_rerank,0.100,0.100,93.57,0.5429
I6WXK4,200,200,1.000,23,rank_fusion,0.300,0.350,46.61,0.8041
O00187,200,200,1.000,15,retrieval,0.000,0.000,117.40,0.4086
O00187,200,200,1.000,15,smina_rerank,0.000,0.050,81.07,0.6063
O00187,200,200,1.000,15,rank_fusion,0.100,0.100,103.33,0.4847
O00748,181,200,0.905,2,retrieval,0.000,0.000,93.00,0.4888
O00748,181,200,0.905,2,smina_rerank,0.000,0.000,80.00,0.5601
O00748,181,200,0.905,2,rank_fusion,0.000,0.000,84.00,0.5391
O00750,200,200,1.000,14,retrieval,0.000,0.000,95.36,0.5278
O00750,200,200,1.000,14,smina_rerank,0.000,0.050,58.43,0.7227
O00750,200,200,1.000,14,rank_fusion,0.000,0.150,68.43,0.6724
O14578,200,200,1.000,116,retrieval,0.400,0.600,84.86,0.6865
O14578,200,200,1.000,116,smina_rerank,0.100,0.100,116.88,0.3069
O14578,200,200,1.000,116,rank_fusion,0.300,0.300,101.37,0.4897
