model,layer,contrast,n_paired_targets,rho_familiar,rho_novel,delta,wilcoxon_p,n_familiar_wins
hypseek_rk,L2,极近≥0.7 vs 全新<0.35,37,0.1932,0.0984,0.0948,0.05668,25
hypseek_rk,L4,极近≥0.7 vs 全新<0.35,8,0.1284,0.2057,-0.0773,0.7422,3
hypseek_rk,L1,熟半≥0.5 vs 生半<0.5,27,0.2442,0.0093,0.2349,0.04356,18
hypseek_rk,L2,熟半≥0.5 vs 生半<0.5,124,0.1814,0.1469,0.0346,0.1426,69
hypseek_rk,L3,熟半≥0.5 vs 生半<0.5,7,0.0551,-0.0540,0.1091,0.6875,3
hypseek_rk,L4,熟半≥0.5 vs 生半<0.5,31,0.1064,0.1136,-0.0072,0.7646,19
ligunity_protein_ranking,L2,极近≥0.7 vs 全新<0.35,37,0.2354,0.1027,0.1327,0.1175,23
ligunity_protein_ranking,L4,极近≥0.7 vs 全新<0.35,8,0.0499,0.0991,-0.0492,0.9453,4
ligunity_protein_ranking,L1,熟半≥0.5 vs 生半<0.5,28,0.2382,-0.0743,0.3125,0.0009657,22
ligunity_protein_ranking,L2,熟半≥0.5 vs 生半<0.5,124,0.1541,0.1090,0.0451,0.08623,66
ligunity_protein_ranking,L3,熟半≥0.5 vs 生半<0.5,7,-0.1505,0.0001,-0.1507,0.1562,2
ligunity_protein_ranking,L4,熟半≥0.5 vs 生半<0.5,31,0.0662,0.0071,0.0591,0.4678,16
ligunity_pocket_ranking,L2,极近≥0.7 vs 全新<0.35,37,0.1294,0.0894,0.0400,0.3942,19
ligunity_pocket_ranking,L4,极近≥0.7 vs 全新<0.35,8,0.0481,0.0849,-0.0368,0.9453,4
ligunity_pocket_ranking,L1,熟半≥0.5 vs 生半<0.5,28,0.1897,0.0408,0.1489,0.12,16
ligunity_pocket_ranking,L2,熟半≥0.5 vs 生半<0.5,124,0.1352,0.1149,0.0203,0.4454,64
ligunity_pocket_ranking,L3,熟半≥0.5 vs 生半<0.5,7,-0.1747,0.1512,-0.3259,0.1562,2
ligunity_pocket_ranking,L4,熟半≥0.5 vs 生半<0.5,31,0.0578,0.0783,-0.0205,0.9461,16
litenclip,L2,极近≥0.7 vs 全新<0.35,37,0.1274,0.0971,0.0303,0.7093,18
litenclip,L4,极近≥0.7 vs 全新<0.35,8,-0.0798,0.1173,-0.1972,0.3125,2
litenclip,L1,熟半≥0.5 vs 生半<0.5,28,0.1580,-0.0964,0.2545,0.01911,19
litenclip,L2,熟半≥0.5 vs 生半<0.5,124,0.1333,0.0808,0.0525,0.1385,68
litenclip,L3,熟半≥0.5 vs 生半<0.5,7,0.0476,0.0350,0.0125,1,4
litenclip,L4,熟半≥0.5 vs 生半<0.5,31,0.0415,0.1043,-0.0628,0.4559,16
drugclip,L2,极近≥0.7 vs 全新<0.35,38,0.0396,0.0044,0.0352,0.4907,22
drugclip,L4,极近≥0.7 vs 全新<0.35,8,-0.2062,0.0636,-0.2699,0.3828,2
drugclip,L1,熟半≥0.5 vs 生半<0.5,29,0.0952,0.0275,0.0677,0.3467,18
drugclip,L2,熟半≥0.5 vs 生半<0.5,127,-0.0019,0.0113,-0.0132,0.8342,62
drugclip,L3,熟半≥0.5 vs 生半<0.5,7,-0.0895,0.0537,-0.1431,0.5781,3
drugclip,L4,熟半≥0.5 vs 生半<0.5,31,-0.0185,-0.0426,0.0240,0.8696,16
bindclip_randneg,L2,极近≥0.7 vs 全新<0.35,38,0.0246,0.0576,-0.0330,0.7964,21
bindclip_randneg,L4,极近≥0.7 vs 全新<0.35,8,-0.0486,0.0486,-0.0973,0.4609,3
bindclip_randneg,L1,熟半≥0.5 vs 生半<0.5,29,0.0680,-0.0085,0.0765,0.3579,18
bindclip_randneg,L2,熟半≥0.5 vs 生半<0.5,127,0.0252,0.0521,-0.0269,0.4133,59
bindclip_randneg,L3,熟半≥0.5 vs 生半<0.5,7,-0.0293,0.1119,-0.1412,0.375,2
bindclip_randneg,L4,熟半≥0.5 vs 生半<0.5,31,0.0180,0.0029,0.0151,0.9461,15
bindclip_hardneg,L2,极近≥0.7 vs 全新<0.35,38,0.0046,0.0694,-0.0648,0.4727,18
bindclip_hardneg,L4,极近≥0.7 vs 全新<0.35,8,-0.1817,0.1386,-0.3204,0.3828,3
bindclip_hardneg,L1,熟半≥0.5 vs 生半<0.5,29,0.1404,0.0465,0.0938,0.2746,16
bindclip_hardneg,L2,熟半≥0.5 vs 生半<0.5,127,0.0303,0.0248,0.0055,0.5932,63
bindclip_hardneg,L3,熟半≥0.5 vs 生半<0.5,7,-0.1051,0.0863,-0.1914,0.2188,2
bindclip_hardneg,L4,熟半≥0.5 vs 生半<0.5,31,0.0494,0.0168,0.0325,0.6636,17
