model,layer,n_targets,median_pool,median_actives,recall_at_100,recall_at_500,recall_at_1000,hit_at_100,ef_at_100
ligunity_protein_ranking,L1,55,5044,99,0.5489,0.7931,0.8553,59.35,30.32
ligunity_protein_ranking,L2,167,9017,177,0.3428,0.6268,0.7254,59.29,30.22
ligunity_protein_ranking,L3,19,5248,103,0.2098,0.3680,0.4588,22.26,11.37
ligunity_protein_ranking,L4,68,7488,147,0.1601,0.3225,0.4151,19.91,10.14
ligunity_pocket_ranking,L1,55,5044,99,0.4967,0.7413,0.8082,53.67,27.43
ligunity_pocket_ranking,L2,167,9017,177,0.2986,0.5733,0.6696,51.90,26.46
ligunity_pocket_ranking,L3,19,5248,103,0.1684,0.3114,0.4283,18.89,9.65
ligunity_pocket_ranking,L4,68,7488,147,0.1308,0.3031,0.3914,19.57,9.97
hypseek_rk,L1,53,5096,100,0.5110,0.7805,0.8533,53.72,27.46
hypseek_rk,L2,167,9017,177,0.2874,0.5834,0.6878,47.42,24.18
hypseek_rk,L3,19,5248,103,0.1630,0.3258,0.3970,18.47,9.44
hypseek_rk,L4,68,7488,147,0.1342,0.3085,0.4217,17.35,8.84
litenclip,L1,55,5044,99,0.4634,0.7115,0.7915,49.93,25.52
litenclip,L2,167,9017,177,0.2428,0.4989,0.6084,42.35,21.59
litenclip,L3,19,5248,103,0.1120,0.2563,0.3835,14.11,7.20
litenclip,L4,68,7488,147,0.1458,0.3167,0.4242,18.38,9.37
drugclip,L1,56,5070,100,0.2515,0.4786,0.5749,27.82,14.18
drugclip,L2,171,8869,174,0.1366,0.3209,0.4287,23.11,11.78
drugclip,L3,19,5248,103,0.0904,0.2438,0.3684,10.68,5.45
drugclip,L4,69,7743,152,0.1069,0.2812,0.3844,16.33,8.32
bindclip_randneg,L1,56,5070,100,0.2703,0.5006,0.6011,30.52,15.62
bindclip_randneg,L2,171,8869,174,0.1260,0.2860,0.3941,21.16,10.78
bindclip_randneg,L3,19,5248,103,0.1323,0.3191,0.4273,14.79,7.55
bindclip_randneg,L4,69,7743,152,0.0973,0.2251,0.3192,13.13,6.69
bindclip_hardneg,L1,56,5070,100,0.2735,0.5016,0.6080,31.41,16.04
bindclip_hardneg,L2,171,8869,174,0.1288,0.2863,0.4044,22.00,11.22
bindclip_hardneg,L3,19,5248,103,0.0888,0.2338,0.3261,12.68,6.48
bindclip_hardneg,L4,69,7743,152,0.0848,0.2039,0.2970,10.68,5.44
sprint,L1,47,5100,100,0.0487,0.1715,0.3161,4.68,2.39
sprint,L2,141,8466,166,0.0252,0.1061,0.1910,2.95,1.50
sprint,L3,16,5432,106,0.0173,0.0956,0.1745,3.19,1.63
sprint,L4,59,6018,118,0.0296,0.1108,0.1902,2.76,1.41
